"path","text","metadata_json"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A6","参数 'A6' (A6) 包含以下细节：数值为 260, 单位为 °/s。含义：第六轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A6"", ""displayName"": ""A6""}"
"AAS/KUKA_KR150_R2700_2/Submodel/OperatingConditions","'运行条件' (OperatingConditions) 是一个子模型，描述了 '机器人正常运行所需环境条件。'。它包含的属性例如：运行时的环境温度 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""OperatingConditions"", ""displayName"": ""运行条件"", ""submodel"": ""OperatingConditions""}"
"AAS/KUKA_KR150_R2700_2/Submodel/OperatingConditions/Element/AmbientTemperature","参数 '运行时的环境温度' (AmbientTemperature) 包含以下细节：摄氏度最小值为 0, 摄氏度最大值为 55, 摄氏度单位为 ℃, 开尔文最小值为 273, 开尔文最大值为 328, 开尔文单位为 K。含义：机器人正常运行的环境温度范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""AmbientTemperature"", ""displayName"": ""运行时的环境温度""}"
"AAS/KUKA_KR150_R2700_2/Submodel/ProtectionRating","'防护等级' (ProtectionRating) 是一个子模型，描述了 '机器人防护等级认证信息。'。它包含的属性例如：防护等级(IEC 60529)、机器人手腕防护等级(IEC 60529) 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""ProtectionRating"", ""displayName"": ""防护等级"", ""submodel"": ""ProtectionRating""}"
"AAS/KUKA_KR150_R2700_2/Submodel/ProtectionRating/Element/RobotProtectionRating","属性 '防护等级(IEC 60529)' (RobotProtectionRating) 的值为 'IP65'。含义：根据IEC 60529标准确定的设备防护等级。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""RobotProtectionRating"", ""displayName"": ""防护等级(IEC 60529)""}"
"AAS/KUKA_KR150_R2700_2/Submodel/ProtectionRating/Element/WristProtectionRating","属性 '机器人手腕防护等级(IEC 60529)' (WristProtectionRating) 的值为 'IP65 / IP67'。含义：机器人手腕部分根据IEC 60529标准确定的防护等级。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""WristProtectionRating"", ""displayName"": ""机器人手腕防护等级(IEC 60529)""}"
"AAS/KUKA_KR150_R2700_2/Submodel/Controller","'控制器' (Controller) 是一个子模型，描述了 '机器人控制系统信息。'。它包含的属性例如：控制系统 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""Controller"", ""displayName"": ""控制器"", ""submodel"": ""Controller""}"
"AAS/KUKA_KR150_R2700_2/Submodel/Controller/Element/ControlSystem","属性 '控制系统' (ControlSystem) 的值为 'KR C5'。含义：机器人使用的控制系统型号。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""ControlSystem"", ""displayName"": ""控制系统""}"
"AAS/KUKA_KR150_R2700_2/Submodel/Certification","'认证书' (Certification) 是一个子模型，描述了 '包含机器人相关认证和标准符合性信息的子模型。'。它包含的属性例如：ESD 要求 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""Certification"", ""displayName"": ""认证书"", ""submodel"": ""Certification""}"
"AAS/KUKA_KR150_R2700_2/Submodel/Certification/Element/ESD","属性 'ESD 要求' (ESD) 的值为 'IEC61340-5-1 ; ANSI/ESD S20.20'。含义：机器人满足的静电放电(ESD)防护标准。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""ESD"", ""displayName"": ""ESD 要求""}"
